Aboriginal descent|Aboriginal decent
lead role|lead roll
leading role|leading roll
league|leage
league|leauge
learning|learnign
learns|lerans
learn|leran
least|elast
led by|lead by
led|leaded
left-handed|left handed
left|leaved
left|lefted
legally|legaly
legendary|ledgendary
legend|ledgend
legislate|ledgislate
legislate|legistlate
legislation|ledgislation
legislation|legistlation
legislative|ledgislative
legislative|legistlative
legislator|ledgislator
legislator|legistlator
legitimate|legimate
legitimate|legitamate
legitimate|legitmate
leibniz|leibnitz
leisure|leasure
leisure|liesure
lengthen|lenghten
lengthy|lenghty
length|legnth
length|lenght
length|lenth
lens|lense
less dominant|less dominate
less than|less that
less than|less then
less than|lesser then
let's|let;s
lethal|leathal
lets him|let's him
lets it|let's it
leukemia|luekemia
leukemia|lukemia
level|levle
levitated|levetated
levitates|levetates
levitate|levetate
levitating|levetating
lexicon|lexion
liaisons|liasons
liaison|liasion
liaison|liason
libel|libell
libertarianism|libitarianisn
library|libarary
library|libary
library|librarry
library|librery
licence|liscence
license|liscense
license|lisense
lie low|lay low
lies atop|lays atop
lies beside|lays beside
lies in|lays in
lies low|lays low
lies near|lays near
lies on|lays on
lieutenant|leutenant
lieutenant|lieutenent
lieutenant|lieutentant
lifetime|life time
lifetime|liftime
light years|lightyears
light year|lightyear
lighter than|lighter then
lightning|lightening
light|lite
liked|liekd
likelihood|likelyhood
likely|likley
likely|likly
like|liek
like|liuke
likud|lukid
lilies|lillies
limits|lmits
limit|limitate
linguistics|libguistics
linguistic|languistic
linguistic|libguistic
linguistic|lingustic
linnaean|linnaena
lion's share|lions share
lipizzaner|lippizaner
liquefy|liquify
listeners|listners
litany|littany
literally|literaly
literally|litterally
literal|litteral
literature|litature
literature|literture
literature|litterature
literature|liturature
little|litlle
little|littel
little|litttle
littérateur|litt[eé]rateur
littérateur|litterateur
lived|lieved
lively|livley
live|liev
living|liveing
locally|localy
located|loacted
location|loction
locker room|lockeroom
locomotive|locamotive
logically|logicaly
loneliness|lonelyness
loneliness|lonleyness
loneliness|lonliness
lonely|lonley
lonely|lonly
longitudinal|longitudonal
looking|lookign
loop|;oop
loosely|loosley
loosely|loosly
lose to|loose to
losing effort|loosing effort
losing record|loosing record
losing season|loosing season
losing streak|loosing streak
losing team|loosing team
losing the|loosing the
losing to|loosing to
losing|loosing
losing|loseing
lost|losed
lost|lsot
lothringen|lotharingen
lovely|lovley
love|loev
love|lveo
love|lvoe
low-budget|low budget
lower than|lower that
lower than|lower then
lubrication|lubrification
luckily|luckly
lunches|lunchs
luxury|luxary
lycée|lyc[eé]e
lycée|lycee
lying around|laying around
lying awake|laying awake
lying low|laying low
lying|lieing
ländler|l[aä]ndler
ländler|landler
mackerel|mackeral
macramé|macram[eé]
macramé|macrame
macédoine|mac[eé]doine
macédoine|macedoine
made its|made it's
made|amde
made|managed to make
magazine|magasine
magically|magicaly
magician|magincian
magnate|magnant
magnetic|magentic
magnet|magent
magnificent|magnificient
magnolia|magolia
mainly known as|mainly know as
mainly known for|mainly know for
mainly|mailny
mainly|mainley
maintained|mantained
maintaining|maintaing
maintaining|maintinaing
maintain|mantain
maintenance|maintainance
maintenance|maintainence
maintenance|maintance
maintenance|maintanence
maintenance|maintence
maintenance|maintenence
maintenance|maintinance
majestic|magestic
major role|major roll
majority|majoroty
majority|marjority
majuscule|majiscule
make its|make it's
makes its way|makes it way
makes|amkes
makes|makse
makes|mkaes
make|amke
make|mkae
make|mkea
making its|making it's
making|amking
making|makeing
making|mkaing
malagueña|malague[nñ]a
malagueña|malaguena
mammalian|mamalian
mammal|mamal
manageable|managable
management|managament
management|managment
management|mangement
managerial reins|managerial reigns
managerial|manageral
managerial|mangerial
mandatory|manditory
maneuverability|manoeuverability
maneuver|maneover
maneuver|manuver
manifestations|manisfestations
manifestation|manifestion
manifest|mainfest
manoeuvre|maneovre
manqué|manqu[eé]
manqué|manque
manufactured|manufacturedd
manufactured|manufatured
manufacture|manufature
manufacturing|manufaturing
many of the|the many of the
manège|man[eè]ge
manège|manege
marches|marchs
margin|margain
margin|margine
margin|maring
marked|maked
marketing|marketting
marks|markes
mark|mrak
marmalade|marmelade
marriage|mariage
marriage|marrage
marriage|marraige
marriage|marrige
married|maried
married|marryed
married|marryied
marshmallow|marshmellow
martyred|marrtyred
mashed potatoes|mash potatoes
masonry|masonary
masonry|masonery
mass media|massmedia
masturbation|masterbation
matches|matchs
materialist|materalists
mathematically|mathmatically
mathematicians|matheticians
mathematicians|mathmaticians
mathematician|mathematican
mathematician|mathmatician
mathematics|mathamatics
mathematics|mathematicas
mathematics|mathmatics
matinées|matin[eé]es
matinées|matinees
matinée|matin[eé]e
matinée|matinee
matériel|mat[eé]riel
matériel|materiel
maximize|maximalize
maximum|maximium
may be|maybe be
may have|may of
maybe|mabye
mayoral|mayorial
maître d'hôtel|ma[iî]tre d'h[oô]tel
maître d'hôtel|maitre d'hotel
mañana|ma[nñ]ana
mañana|manana
mccarthyist|mccarthyst
meaningful|meaningfull
meaning|meaing
meaning|meaninng
meant|meaned
meant|menat
meanwhile|mean while
measurement|measurment
mechanical|mecanical
mechanics|mchanics
mechanism|mechanisim
mediaeval|medieval
medicine|medacine
mediciny|mediciney
medieval|medeival
medieval|medevial
medieval|medievel
mediocre|medicore
mediterranean|mediterainnean
meerkat|meerkrat
meet|meeet
member|memeber
membranophone|membranaphone
memento|momento
memorable|rememberable
memory|memmory
men's|mens'
menstruation|menstration
mentally|menally
mentally|mentaly
mentioned|maintioned
mentioned|mentionned
mentions|mentiones
mercantile|mercentile
mercenary|mercernary
merchandise|mechandise
merchant|merchent
merely|mearly
messages|mesages
message|mesage
messaging|messenging
messenger|messanger
metallicity|metalicity
metallic|metalic
metallurgical|metalurgical
metallurgic|metalurgic
metallurgy|metalurgy
metamorphosis|metamorphysis
metaphorical|metaphoricial
metaphors|methaphors
metaphor|methaphor
metaphysical|mataphysical
meteorologist|meterologist
meteorology|meterology
meteorology|metorology
metropolitan|metropolian
microscopy|micoscopy
midwives|midwifes
might have|might of
milieux|melieux
milieu|mileau
milieu|mileu
military|miliary
military|miliraty
military|militairy
military|millitary
military|miltary
millennialism|millenialism
millennial|millenial
millennia|milennia
millennia|millenia
millennium|milennium
millennium|millenium
millionaire|millioniare
million|milion
million|millon
millipede|millepede
mimicry|mimickry
minaudière|minaudi[eè]re
minaudière|minaudiere
mineralogist|minerologist
mineralogy|minerology
mineral|minerial
miniature|minature
miniature|miniture
minimally|minimaly
minimal|miminal
minimise|minimalise
minimize|minimalize
minimum|miminum
minimum|minimium
minimum|minumum
mining|minning
ministries|minstries
ministry|ministery
ministry|ministy
ministry|minstry
minor role|minor roll
minuscule|miniscule
minutes|mintues
miracle|miricle
mirrored|mirrorred
miscellaneous|miscelaneous
miscellaneous|miscellanious
miscellaneous|miscellanous
mischievous|mischeivous
mischievous|mischevious
mischievous|mischievious
misdemeanors|misdameanors
misdemeanors|misdemenors
misdemeanor|misdameanor
misdemeanor|misdemenor
mise en scène|mise en sc[eè]ne
mise en scène|mise en scene
misfortunes|misfourtunes
misogynistic|mysogynistic
misogynist|mysogynist
misogyny|mysogyny
missile|misile
missile|missle
missionary|missonary
misspelled|mispelled
misspellings|mispellings
misspelling|mispelling
misspell|mispell
mistaken|misstaken
misunderstand|missunderstand
misuse|missuse
mixed|mixted
mizzen|missen
moccasins|moccassins
model|modle
modem|moderm
moderately|moderatley
moderately|moderatly
modification|modifaction
modified|modfied
modified|modifed
mohel|moil
moiréing|moir[eé]ing
moiréing|moireing
moirés|moir[eé]s
moirés|moires
moiré|moir[eé]
moiré|moire
moisture|mosture
molecules|moleclues
molest|mollest
moment|moent
monasteries|monestaries
monastery|monastry
monastery|monestary
monatomic|monoatomic
money|moeny
monikers|monickers
monitor|moniter
monkeys|monkies
monolithic|monolite
monotypic|montypic
months|monthes
months|monts
month|mounth
moot point|mute point
morally|moraly
more dominant|more dominate
more often than|more often then
more so|moreso
more than|more that
more than|more then
more|mroe
more|omre
moroccan|morroccan
morocco|morrocco
morocco|morroco
mortgage|morgage
most dominant|most dominate
most of the|the most of the
most populous|most populace
mostly known as|mostly know as
mostly known for|mostly know for
mother-in-law|mother in law
motivated|motiviated
mottoes|mottos
mountainous|montanous
mountainous|mountanous
mountains|montains
movement|movment
movie|movei
moving|moveing
much of the|the much of the
mucous|mucuous
multiculturalism|multicultralism
multiplayer|mulitplayer
multiple|mulitple
multiple|mutiple
multiplication|mutiplication
multiplied|multipled
multiplied|multiplyed
multipliers|multiplers
multiply|mulitply
multiply|mutiply
municipalities|muncipalities
municipalities|municipalites
municipalities|municipalties
municipality|muncipality
municipality|municipalty
municipality|municipaly
municipality|munnicipality
murderer|muderer
murdering|mudering
murder|muder
museum|mueseum
museum|musseum
museum|musuem
musically|musicaly
musical|muscial
musical|musicial
musicians|muscicians
musician|muscician
musician|musican
muslims|mohammedans
muslim|muhammadan
must have|must of
mutilated|mutiliated
mutually|mutualy
myriad|miriad
myriad|myraid
myself|mysef
myself|mysefl
mysterious|misterious
mysterious|misteryous
mysterious|mysterous
mystery|mistery
my|myu
mélange|m[eé]lange
mélange|melange
ménage à trois|m[eé]nage [aà] trois
ménage à trois|menage a trois
ménagerie|m[eé]nagerie
ménagerie|menagerie
ménages à trois|m[eé]nages [aà] trois
ménages à trois|menages a trois
mésalliance|m[eé]salliance
mésalliance|mesalliance
métier|m[eé]tier
métier|metier
mêlées|m[eê]l[eé]es
mêlées|melees
mêlée|m[eê]l[eé]e
mêlée|melee
naivety|naivity
naive|naieve
narrate|narate
narrative|narative
narrow|narow
nasalisation|ansalisation
nasalization|ansalization
nascent|nacent
nascent|nascient
nationalities|nationalites
nationally|nationaly
nationwide|nation wide
naturally|natuarlly
naturally|naturaly
naturally|naturely
naturally|naturually
natural|natrual
natural|natual
natural|naturual
navigation|navagation
navigation|naviagation
naïfs|na[iï]fs
naïfs|naifs
naïf|na[iï]f
naïf|naif
naïver|na[iï]ver
naïver|naiver
naïves|na[iï]ves
naïves|naives
naïveté|na[iï]vet[eé]
naïveté|naivete
naïve|na[iï]ve
naïve|naive
nearby|near by
nearby|nearbye
necessarily|neccesarily
necessarily|neccessarily
necessarily|necesarily
necessarily|nessasarily
necessary|neccesary
necessary|neccessary
necessary|necesary
necessary|nessacary
necessary|nessecary
necessitate|necessiate
necessities|neccessities
needs|need's
need|ened
negatively|negativley
negatively|negativly
negative|negitive
negativity|negitivity
negligible|neglible
negligible|negligable
negligées|neglig[eé]es
negligées|negligees
negligée|neglig[eé]e
negligée|negligee
negotiable|negociable
negotiate|negociate
negotiating|negotiaing
negotiation|negotation
negotiator|negotiater
neighbor|nieghbor
neighbourhood|neigbourhood
neighbour|nieghbour
neither criterion|neither criteria
neither phenomenon|neither phenomena
neither|niether
neolithic|neolitic
nephew|newphew
nesting|nestin
neurological|nuerological
neurotic|nuerotic
neurotransmitter|nuerotransmitter
neutrality|nuetrality
neutralize|nuetralize
neutral|nuetral
nevertheless|nethertheless
nevertheless|neverthless
never|nver
newcomer|new comer
newly|newely
newsletters|newletters
newsletter|newletter
new|nwe
next|enxt
niche|nitch
nickel|nickle
nickname|nicname
niece|neice
nighttime|nightime
night|nigth
nineteenth|ninteenth
nineties|ninties
ninety|ninty
ninthly|ninethly
ninth|nineth
nitpick|knit-pick
nitpick|knitpick
no one|noone
nomenclature|nomencalture
non-English|non English
noncombatants|noncombatents
nonetheless|nontheless
nonexistent|non-existant
nonoperational|unoperational
nonsense|nonsence
normally|normaly
northeastern|northereastern
northernmost|northermost
northern|norhern
northern|northen
northern|nothern
north|noth
notable|noteable
notably|notabley
notably|noteably
noteworthy|note worthy
noteworthy|notewothy
nothing|nothign
noticeable|noticable
noticeable|noticible
noticeably|noticably
notice|notive
noticing|noticeing
notoriety|nortoriety
notoriety|notariety
notoriety|noteriety
notorious|nortorious
notorious|notorius
notwithstanding|notwhithstanding
not|nto
nouveau|noveau
nowadays|now a days
nowadays|now adays
nowadays|nowdays
nowhere to|no where to
now|nowe
now|nwo
nuclear|neuclear
nuclear|nucular
nuclear|nuculear
nuisance|nuisanse
nuisance|nusance
numbers|munbers
numerous|numberous
nuptial|nuptual
nurturing|nuturing
nutrients|nutritents
nutrient|nutritent
née|n[eé]e
née|nee
née|neé
négligée|n[eé]glig[eé]e
número uno|n[uú]mero uno
número uno|numero uno
o'clock|oclock
obedience|obediance
obedient|obediant
objective|objetive
objet trouvé|objet trouv[eé]
objet trouvé|objet trouve
objets trouvé|objets trouv[eé]
objets trouvé|objets trouve
obliged|obligued
obscene|obcene
obscenity|obcenity
observance|observence
observation|obervation
observer|observor
obsessed|obssessed
obsession|obession
obsession|obssession
obsessive|obssessive
obsolescence|obsolecence
obsolescence|obsolecense
obsolescence|obsolesence
obsolescence|obsolesense
obstacles|obstancles
obstacle|obstacal
obstacle|obsticle
obstructed|obstruced
obviously|obvisouly
occasionally|ocasionally
occasionally|ocasionaly
occasionally|ocassionally
occasionally|ocassionaly
occasionally|occaisonally
occasionally|occasionaly
occasionally|occassionally
occasionally|occassionaly
occasionally|occationally
occasional|ocasional
occasional|ocassional
occasional|occasonal
occasional|occassional
occasioned|ocasioned
occasioned|ocassioned
occasioned|occassioned
occasions|ocasions
occasions|ocassions
occasions|occassions
occasion|ocassion
occasion|occaison
occasion|occassion
occupied|ocupied
occupy|ocupy
occurred|occured
occurred|ocurred
occurrences|occurances
occurrences|occurences
occurrences|occurrances
occurrence|occurance
occurrence|occurence
occurrence|occurrance
occurrence|ocurrance
occurrence|ocurrence
occurring|occuring
occurring|ocurring
occurs|ocurrs
occur|occour
occur|occurr
occur|ocur
occur|ocurr
octagonal|octogonal
octagon|octogon
octahedral|octohedral
octahedra|octohedra
octahedron|octohedron
octastyle|octostyle
oddities|oddites
odoriferous|odouriferous
odorous|odourous
oeuvre|ouevre
of both|both of both
of course|ofcourse
of its kind|of it's kind
of its own|of it's own
of its|ofits
of the|oft he
of the|ofthe
of whom to|of who to
offender|offendor
offerings|offereings
officers|offcers
officer|offcier
office|offce
officially|offcially
officially|offically
officially|officaly
officially|officialy
official|offcial
official|offical
official|oficial
offshoot|offshot
often|offen
often|oftenly
often|oftern
of|fo
oil baron|oil barron
oll|o;;|*?
ombrés|ombr[eé]s
ombrés|ombres
ombré|ombr[eé]
ombré|ombre
omelette|omlette
omertà|omert[aà]
omertà|omerta
ominous|omnious
omission|omision
omission|ommision
omission|ommission
omitted|omited
omitted|ommited
omitted|ommitted
omitting|omiting
omitting|ommiting
omitting|ommitting
omit|omitt
omit|ommit
omnivorously|omniverously
omnivorous|omniverous
on January 1|in January 1
on its own|on it's own
on the|ont he
on the|onthe
on top|ontop
one criterion|one criteria
one of the most|one of most
one of the|a one of the
one of the|the one of the
one of|oneof
one phenomenon|one phenomena
one point|onepoint
one tenth as much as|ten times less than
one third as much as|three times less than
one-fourth|one fourth
ongoing|on going
ongoing|on-going
only a|a only a
only the|the only the
only|olny
only|onyl
onomatopoeia|onomatopeia
opened|opend
opened|openned
opened|oppened
opening|oppening
openly|oppenly
openness|openess
open|oppen
operate|oparate
operate|opperate
operation|opertion
operation|opperation
operator|oeprator
operator|operater
ophthalmic|opthalmic
ophthalmologist|opthalmologist
ophthalmologist|opthamologist
ophthalmologist|opthomologist
ophthalmology|opthalmology
ophthalmology|opthamology
ophthalmology|opthomology
opine|opinate
opinion|opionion
opinion|oppinion
opponent|oponent
opponent|opponant
opponent|opponet
opponent|oppononent
opportunities|opportunites
opportunities|oppotunities
opportunity|opertunity
opportunity|oportunity
opportunity|oppertunity
opportunity|opportuinity
opportunity|opportunty
opportunity|oppotunity
opportunity|oppourtunity
opportunity|opprotunity
opportunity|oppurtunity
opposable|opposible
opposed|oppossed
oppose|opose
opposite|oposite
opposite|oppasite
opposite|opposate
opposite|opposit
opposition|oposition
opposition|oppositition
oppression|opression
oppressive|opressive
oppress|opress
optimism|optomism
optimistic|optomistic
optimist|optomist
optimizations|optmizations
opéra bouffe|op[eé]ra bouffe
opéra bouffe|opera bouffe
opéra comique|op[eé]ra comique
opéra comique|opera comique
opéras bouffe|op[eé]ras bouffe
opéras bouffe|operas bouffe
opéras comique|op[eé]ras comique
opéras comique|operas comique
orchestral|orchesteral
orchestra|orchestera
ordered|orded
ordinarily|oridinarily
organic|organical
organisation|orgainisation
organise|orgainise
organise|orginise
organise|orginize
organism|organim
organization|orgainization
organization|organiation
organization|organiztion
organization|orginization
organized|orginized
organize|orgainize
organize|orginize
orientation|oriention
originally known as|originally know as
originally|orginally
originally|origanaly
originally|originall
originally|originaly
originally|originially
originally|originnally
originally|orignally
originally|orignially
original|orginal
original|origanal
original|originial
original|originnal
original|origional
original|orignal
original|orignial
original|origonal
originate|orginate
originate|originiate
originate|orignate
origin|orgin
orthogonally|orthagonally
orthogonally|orthogonaly
orthogonal|orthagonal
orthogonal|orthgonal
other than|other then
others|otheres
others|otherw
other|ohter
other|otehr
other|othere
out loud|outloud
out of sync|out of sink
out of|our of
out of|outof
out-and-out|out and out
out-of-band|out of band
out-of-body|out of body
out-of-bounds|out of bounds
out-of-doors|out of doors
out-of-door|out of door
out-of-order|out of order
out-of-place|out of place
out-of-pocket|out of pocket
out-of-state|out of state
out-of-the-way|out of the way
out-of-town|out of town
out-of-wedlock|out of wedlock
outcast|outcasted
outer|outter
outgrow|out grow
outlying|outlaying
output|outputted
outrageous|outragous
outré|outr[eé]
outré|outre
outside|ouside
outside|oustide
outside|out side
outstanding|oustanding
outtake|outake
outweighed|outweighted
out|otu
over there|overthere
over the|overthe
over whom to|over who to
overheard|over heard
overhear|over hear
overlaid|overlayed
overlooked|over looked
overlooking|over looking
overlook|over look
overran|overan
overrated|over rated
overrated|overated
overreach|overeach
override|overide
overrode|overode
overrule|overule
overrun|overun
oversaw|over saw
overseas|over seas
oversee|over see
overshadowed|overshaddowed
oversight|oversite
overture|oveture
overwhelming|overwelming
overwhelming|overwheliming
own|pwn
oxidant|oxident
oxygen|oxigen
oxygen|oxyen
oxymoron|oximoron
pageant|peageant
paid|paide
paid|payed
paleolithic|paleolitic
palette|pallete
pamphlet|pamflet
pamphlet|pamplet
panel|panal
panicking|panicing
panicking|paniking
panorama|panarama
pantomime|pantomine
paparazzi|paparazzis
paper|papaer
papier-mâché|papier-m[aâ]ch[eé]
papier-mâché|papier-mache
parade|perade
parakeets|parrakeets
parallelly|paralelly
parallelly|paralely
parallelly|parallely
parallelly|parrallelly
parallelly|parrallely
parallels|parellels
parallel|paralel
parallel|paralell
parallel|parallell
parallel|parralel
parallel|parrallel
parallel|parrallell
paraphernalia|paraphenalia
parasitic|parisitic
parenthesis|paranthesis
parents' house|parent's house
parliamentarian|paliamentarian
parliament|paliament
parliament|parlament
parliament|parliment
parsable|parseable
part of|partof
part-time|part time
partially|partialy
participant|particpant
participated|particpated
participate|partecipate
participate|partipate
particularly|particuarly
particularly|particularily
particularly|particulary
particular|parituclar
particular|particualr
particular|paticular
party|pary
passed down|past down
passed|pased
passengers|pasengers
passenger|pasenger
passenger|passanger
passersby|passerbys
passé|pass[eé]
passé|passe
pasteurize|pasturize
pastime|passtime
pastime|pasttime
pastoral|pastorial
pastoral|pastural
pastries|pasteries
patented|pattented
patent|pattent
patience|paitience
pavilion|pavillion
payments|paymetns
payment|paymetn
peaceful and|peacefuland
peaches|peachs
peasant|peasent
peculiarities|peculiarites
peculiarity|pecularity
peculiarly|pecularly
peculiar|pecular
peculiar|peculure
peculiar|perculiar
pedestrian|pedestrain
pejorative|perjorative
pejorative|prejorative
peloton|peleton
penalty|penatly
penetrator|penerator
peninsular|penisular
peninsular|penninsular
peninsula|peninnsula
peninsula|penisula
peninsula|penninsula
peninsula|pennisula
peninsula|pensinsula
peninsula|pensinula
peoples|poeoples
people|peolpe
people|peopel
people|pepole
people|poeple
per se|per say
per se|persay
perceived|percepted
perceived|percieved
perceive|percieve
perceive|preceive
percent of|percentof
percent to|percentto
percentage|precentage
perception|preception
perennially|perenially
perfection|prefection
performance|peformance
performance|perfomance
performance|performence
performers|perfomers
performing|perfoming
performs|performes
perform|peform
perform|perfom
perhaps|perhasp
perhaps|perheaps
perhaps|perhpas
perhaps|perphas
period|preiod
period|preriod
peripatetic|peripathetic
perjury|perjery
permanently|permenantly
permanent|permanant
permanent|permenant
permanent|perminent
permanent|premanent
permissible|permissable
permission|premission
permitted|permited
permitting|permiting
permit|permitt
perpendicular|perpindicular
perpetrated|perpertrated
perseverance|perserverance
perseverance|perserverence
perseverance|perseverence
perseverant|perseverent
persevere|perservere
persistence|persistance
persistent|peristent
persistent|persistant
personality|perosnality
personally|personaly
personally|personalyl
personal|peronal
personnel|personell
personnel|personnell
perspective|prespective
persuaded|persuded
persuaded|pursuaded
persuades|pursuades
persuade|persaude
persuade|pursuade
persuading|pususading
perturbations|pertubations
perturbation|pertubation
perverse|preverse
pessary|pessiary
petition|petetion
phenomenally|phenomenonly
phenomenal|phenomenonal
phenomenal|phenominal
phenomena|phenonmena
phenomenon|phenomenom
phenomenon|phenomonenon
phenomenon|phenomonon
pheromone|feromone
philanthropist|philantrophist
philanthropist|philantropist
philanthropy|philantrophy
philanthropy|philantropy
philosopher|philisopher
philosopher|philospher
philosophically|phillosophically
philosophical|philisophical
philosophical|phylosophical
philosophies|philosphies
philosophy|philisophy
philosophy|philosphy
phoenix|pheonix
phonetic|fonetic
phonograph|phongraph
photograph|photgraph
physically|physicaly
physical|fysical
physical|phyiscal
physical|physicial
physician|physican
pictures|poictures
picture|pciture
picture|picure
pieces|peices
piece|peice
pied-à-terre|pied-[aà]-terre
pied-à-terre|pied-a-terre
piedfort|piefort
pigeon|pidgeon
pilgrimages|pilgrimmages
pilgrimage|pilgramage
pilgrimage|pilgrimmage
pilgrimage|piligrimage
pilgrim|pilgram
pilgrim|piligrim
pineapple|pinapple
pineapple|pinnaple
pioneered|pinoneered
pioneering|pionering
pique her interest|peak her interest
pique his interest|peak his interest
piquéd|piqu[eé]d
piquéd|piqued
piqué|piqu[eé]
piqué|pique
pirañas|pira[nñ]as
pirañas|piranas
piraña|pira[nñ]a
piraña|pirana
pitches|pitchs
pitch|pich
pièce de résistance|pi[eè]ce de r[eé]sistance
pièce de résistance|piece de resistance
piñatas|pi[nñ]atas
piñatas|pinatas
piñata|pi[nñ]ata
piñata|pinata
piñons|pi[nñ]ons
piñons|pinons
piñon|pi[nñ]on
piñon|pinon
più|pi[uù]
più|piu
place|palce
placing|placeing
plagiarism|plagarism
plagiarist|plagarist
plagiarize|plagarize
plague|plauge
plaintiff|plantiff
planned|planed
plans|future plans
plantation|planation
plateau|plateu
platform|platfrom
plausible|plausable
played|palyed
players' union|player's union
player|palyer
player|payler
playing|palying
playoff berth|playoff birth
playwrights|playwrites
playwright|playright
playwright|playwrite
pleasant|pleasent
pleasant|pleasnat
pleasant|plesant
plebiscite|plebicite
plenitude|plentitude
plethora|plethura
plissé|pliss[eé]
plissé|plisse
plié|pli[eé]
plié|plie
poems|peoms
poem|peom
poetry|peotry
poetry|poety
poinsettia|poinsetta
point|piont
poison|poisin
poison|posion
political|polical
political|poltical
politicians|politicans
politician|politian
politician|politican
politician|politition
pollinate|polinate
pollinate|pollenate
pollination|polination
pollination|pollenation
pollinators|polinators
pollinator|polinator
polluted|poluted
pollutes|polutes
pollute|polute
polluting|poluting
pollution|polution
polyphonic|polyphonyic
polysaccharide|polysaccaride
polysaccharide|polysaccharid
pomegranate|pomegranite
popularity|popularaty
popular|populare
populations|poulations
population|popoulation
population|populaion
portrait|protrait
portrayal|protrayal
portrayed|portayed
portrayed|potrayed
portrayed|protrayed
portraying|portraing
portray|potray
portray|protray
portuguese|portuguease
position|posistion
position|possition
position|postion
position|postition
position|psoition
positively|postively
positive|positve
positive|postitive
positive|postive
possessed|posessed
possesses|posesses
possesses|posseses
possesses|possessess
possessing|posessing
possessing|possesing
possessions|posessions
possession|posession
possession|possesion
possess|posess
possibility|possibilty
possibility|possiblility
possibility|possiblilty
possibility|possiblity
possible|posible
possible|possable
possible|possibile
possibly|posibly
possibly|possably
posthumous|posthomous
posthumous|postumous
potatoes|potatos
potato|potatoe
potentially|potentialy
potential|potentional
powerful|poverful
powerful|poweful
powerful|powerfull
power|poewr
power|pwoer
practically|practially
practically|practicaly
practically|practicly
practical|practial
practice|pratice
practitioners|practicioners
practitioners|practioners
practitioner|practicioner
practitioner|practioner
prairies|praries
prairie|prairy
prairie|prarie
pre-Columbian|pre-Colombian
pre-owned|pre owned
preamble|preample
preceded|preceeded
precedence|precidence
precedes|preceeds
precede|preceed
preceding|preceeding
precinct|precint
precisely|precisly
precise|precice
precursor|pre-cursor
precursor|precurser
predecessors|predecesors
predecessor|precedessor
predictable|predicatble
predictions|predicitons
predominantly|predominately
predominately|predomiantly
preeminence|preminence
preexistent|pre-existant
preferable|preferrable
preferably|preferrably
preferences|preferneces
preference|prefernece
preferred|prefered
preferred|preffered
preferring|prefering
prefer|preferr
prefer|preffer
pregnancies|pregancies
pregnancy|pregancy
pregnancy|pregnacy
pregnant|pregnent
prejudice|predjudice
premiere episode|premier episode
premiered|premeired
premiere|premeire
premillennial|premillenial
premises|premesis
preoccupation|preocupation
preparations|preperations
preparation|prepartion
preparation|preperation
preparatory|prepatory
preparatory|preperatory
prepare|perpare
prepare|prepair
prerogative|perogative
presence|presance
presence|prescence
presence|presense
presenter|presentor
presidential|presedential
presidential|presidenital
presidential|presidental
pressure|presure
pressurize|presurize
prestigious|presitgious
prestigious|prestigeous
prestigious|prestigous
presumably|presumabely
presumably|presumeably
presumably|presumibly
prevail|prevale
prevalence|prevailance
prevalence|prevelance
prevalent|prevelant
prevention|preventation
previous|previus
previous|previvous
previous|prevous
priesthood|priestood
priest|preist
primarily|primarially
primarily|primarly
primitively|primatively
primitives|primatives
primitive|primative
primordial|primordal
primordial|primordeal
principal action|principle action
principal activity|principle activity
principal actor|principle actor
principal advantage|principle advantage
principal advocate|principle advocate
principal agent|principle agent
principal aim|principle aim
principal area|principle area
principal artist|principle artist
principal assistant|principle assistant
principal attraction|principle attraction
principal author|principle author
principal branch|principle branch
principal caste|principle caste
principal cast|principle cast
principal cause|principle cause
principal character|principle character
principal church|principle church
principal city|principle city
principal component|principle component
principal composer|principle composer
principal goal|principle goal
principal group|principle group
principal method|principle method
principal officer|principle officer
principal office|principle office
principal owner|principle owner
principal photography|principle photography
principal source|principle source
principal student|principle student
principal town|principle town
principally|principly
principal|pricipal
principal|principial
principal|prinicipal
principle|priciple
prison|prision
privately|privatley
privately|privatly
private|privte
privileged|priveleged
privileged|priveliged
privileges|priveledges
privileges|priveleges
privileges|priveliges
privileges|privelleges
privileges|priviledges
privilege|priveledge
privilege|privelege
privilege|privelidge
privilege|privelige
privilege|privilage
privilege|priviledge
privilege|privledge
pro tem|protem
probabilistic|probablistic
probability|probabilaty
probability|probalibity
probably|probablly
probably|probalby
probably|probaly
probably|propably
problems|porblems
problems|probelms
problem|porblem
problem|probelm
procedure|procedger
procedure|proceedure
proceeded|proceded
proceedings|procedings
proceeding|proceding
proceeds|procedes
proceed|procede
processing|proccessing
processor|processer
process|proccess
process|proces
proclaimed|proclamed
proclaiming|proclaming
proclaim|proclame
proclamation|proclaimation
proclamation|proclomation
prodigy|progidy
production|prodcution
professed|proffesed
professionally|professionaly
professional|proffesional
profession|profesion
profession|proffesion
professor|profesor
professor|professer
professor|proffesor
programmable|programable
programmer|programer
progressed|progessed
progress|ptogress
prohibition|prohabition
prolegomena|prologomena
proliferation|preliferation
prolific|profilic
prominence|prominance
prominently|prominantly
prominent|prominant
prominent|prominate
promiscuous|promiscous
promoted|promotted
promotion|pomotion
promotion|premotion
prompted|propmted
pronominal|pronomial
pronounced|pronouced
pronounced|pronounched
pronounced|prounounced
pronouncements|prouncements
pronunciation|pronounciation
